long,lat,Entry
105.1373833,33.45548333,M. sinensis 'PMS-130'
111.04395,34.12948333,M. sinensis 'PMS-159'
112.3247667,35.72196667,M. sinensis 'PMS-161'
114.2810333,37.34001667,M. sinensis 'PMS-164'
114.8741167,31.70131667,M. sinensis 'PMS-204'
106.75145,26.62055,M. sinensis 'PMS-226'
119.8417167,29.89176667,M. sinensis 'PMS-306'
119.6324333,26.52793333,M. sinensis 'PMS-314'
115.8838667,24.16798333,M. sinensis 'PMS-347'
112.3369667,22.91336667,M. sinensis 'PMS-359'
110.2908833,19.63043333,M. sinensis 'PMS-375'
109.5137833,18.90558333,M. sinensis 'PMS-382'
123.7384,41.31701667,M. sinensis 'PMS-436'
123.6902667,41.32883333,M. sinensis 'PMS-438'
141.43225,43.3931,M. sinensis 'EBI-2008-32a'
142.64555,43.44818333,M. sinensis 'EBI-2008-51c'
138.36,38,M. sinensis 'Koike-11a'
137.19,36.7,M. sinensis 'Koike-12b'
130.39,32.16,M. sinensis 'Koike-21c'
165.33,-20.91,M. floridulus 'US56-0022-03'
143.6333333,-3.55,M. floridulus  'NG77-022'
131.42,31.83,M. sinensis 'Miyazaki 1.5'
138.12,36,M. sinensis 'Sugadaira 2.4'
141.9833333,44.91666667,M. sinensis 'Teshio 3.3'
127.806144,26.44585,M. sinensis 'Onna-1'
140.22625,40.21601,M. sinensis 'Tōhoku-2010-015a'
127.854968,26.340312,M. sinensis 'Uruma-1b'
120.1449,30.87438333,M. sinensis x M. sacchariflorus 2x  'PMS-300'